model,target,fold,mse,rmse,mae,median_ae,max_error,r2,adj_r2,explained_var,mape,smape,sign_accuracy,threshold,threshold_precision,threshold_recall,threshold_f1,false_change_rate,missed_change_rate,stability_score
ridge,delta_built,0,0.0015749830301220868,0.03968605586502754,0.02132781113346492,0.007273724689877914,0.6092848898842761,0.1368036185007343,0.13393161575267765,0.13680371108404832,48702748.70175692,165.22549716729128,0.2796266732162594,0.05,0.35570469798657717,0.04294975688816856,0.07664497469269704,0.013894919669995658,0.9570502431118314,0.8366695321134717
lgbm,delta_built,0,0.0014288830736588218,0.03780056975309792,0.01828741382000284,0.002137400890822114,0.6302316184904566,0.21687619791545643,0.21427061040389972,0.21757272683099083,26171438.36397611,165.45992269695375,0.2804863072577674,0.05,0.5446339017051154,0.440032414910859,0.48677722994173017,0.06571139093935446,0.559967585089141,0.7927053911334889
ridge,delta_built,1,0.00209754025734571,0.0457989110934497,0.021783573484907323,0.006965115127122898,0.8942470056591937,0.09503819471299624,0.09202797311108069,0.09555416575069309,50944824.794641525,170.24065945397894,0.24751381215469614,0.05,0.37404580152671757,0.04216867469879518,0.07579273008507346,0.011742803952455964,0.9578313253012049,0.847268262737876
lgbm,delta_built,1,0.001823837862960504,0.042706414775306345,0.017831132280459953,0.001618082868617676,0.8552970822537739,0.21312423004260939,0.21050680417235568,0.2134110954190066,23699365.733053718,170.01152311199303,0.252670349907919,0.05,0.6257668711656442,0.4388984509466437,0.5159332321699545,0.04367750250608621,0.5611015490533563,0.8198895027624309
ridge,delta_built,2,0.0016666399387191715,0.04082450169590771,0.021785942532121527,0.00793107794633882,0.6255844720913046,0.14189535704636103,0.13904205343062848,0.1419121483675102,50566137.6309982,163.84976882316974,0.29013254786450665,0.05,0.31666666666666665,0.04527402700555997,0.07922168172341904,0.017854550733052692,0.9547259729944401,0.8303878252331861
lgbm,delta_built,2,0.0014392163881264816,0.037937005523979904,0.018174163862238208,0.002424736569299938,0.6858607271194415,0.2589891576608875,0.256525205352617,0.25908914461262844,23530340.036358,165.13017413258027,0.29099165439371627,0.05,0.587651598676957,0.4233518665607625,0.492151431209603,0.05428944694440412,0.5766481334392375,0.7995827196858125
ridge,delta_built,3,0.0019477530892810973,0.044133355744619025,0.02389757116080608,0.008959784111384164,0.486188289105225,0.12251216132973552,0.11959296817496745,0.1228791607965819,51296264.49328922,164.12150685566257,0.2951866404715128,0.05,0.3485714285714286,0.04436363636363636,0.07870967741935483,0.016841483232382923,0.9556363636363636,0.8171660117878192
lgbm,delta_built,3,0.001677223615403985,0.040953920635318726,0.01997184274829843,0.0029299561275569945,0.4446873211539672,0.24438917163223173,0.24187543427812508,0.24459185644825843,24624830.940357707,164.59152630577302,0.29837917485265225,0.05,0.5865294667913938,0.456,0.5130932896890344,0.06529768060274782,0.544,0.7768909626719057
ridge,delta_built,4,0.0018860779869030488,0.0434289993771794,0.022299045465812774,0.008425425021284958,0.7154557757024836,0.11313489546911704,0.11018559656256033,0.11313929911096343,51110883.752468266,163.42118568055673,0.2901681600589174,0.05,0.34375,0.052339413164155434,0.09084652443220924,0.01829799593377868,0.9476605868358445,0.8297532834172088
lgbm,delta_built,4,0.0017398472657989348,0.04171147642794408,0.019057557342849987,0.0026898908773224164,0.7548816476791504,0.18189500223997923,0.1791743673170182,0.18194428863830236,23929304.309480123,165.34502942329553,0.29115011660734014,0.05,0.5502702702702703,0.4036478984932593,0.4656907593778591,0.06041243101945978,0.5963521015067407,0.7941573585368847
ridge,delta_veg,0,0.004005065945112704,0.06328559034340048,0.03206364318220483,0.01106850558336835,0.729775932901677,0.09440178222941531,0.09138870128304366,0.0944903073353246,55956632.54219886,173.2649519320001,0.29608252486798475,0.05,0.27979274611398963,0.03413400758533502,0.0608450704225352,0.02118579484834629,0.965865992414665,0.7886528306520938
lgbm,delta_veg,0,0.0033797042418519797,0.058135223761949864,0.027758152432630023,0.0049893627568147894,0.6116302072516364,0.2358043088534687,0.23326169842081845,0.2363539275045463,35556468.91908921,162.9424832067484,0.31253837651971017,0.05,0.5440067057837384,0.4102402022756005,0.4677477477477477,0.08291418991007468,0.5897597977243995,0.7389168611076998
ridge,delta_veg,1,0.004064514670543576,0.06375354633699663,0.03229953292035744,0.011511033238449812,0.6912134070797711,0.059612330909647904,0.05648427041125703,0.0599935577944688,68923231.60462542,177.57927631982326,0.2503376304481277,0.05,0.2620481927710843,0.05979381443298969,0.09736989367655288,0.03662182361733931,0.9402061855670103,0.7912829957028852
lgbm,delta_veg,1,0.0034797312315688884,0.05898924674522373,0.027671754232309984,0.004096351943980871,0.6453282936173937,0.19491092857137116,0.19223291884751104,0.19701851021537553,46709407.10971515,168.31354629227567,0.27894413750767344,0.05,0.5266968325791855,0.4,0.4546875,0.07817638266068759,0.6,0.7571516267648865
ridge,delta_veg,2,0.003945297776375032,0.06281160542746088,0.03184610157724758,0.01146373984382344,0.7769434479900702,0.0909938415569238,0.08797128413352939,0.09422302906784241,60761728.01233822,174.01566504321724,0.2916053019145803,0.05,0.25547445255474455,0.045662100456621,0.0774764803541782,0.030839002267573697,0.954337899543379,0.7868188512518409
lgbm,delta_veg,2,0.0033488488229275397,0.05786923900422002,0.027580051471714107,0.005309930642746532,0.6428380033463817,0.2284171243132519,0.22585151622907185,0.23021051439444185,36791160.69600445,164.7246577731643,0.3080510554737359,0.05,0.5301645338208409,0.37834311806914545,0.44156832889227254,0.07770219198790627,0.6216568819308546,0.748772704958272
ridge,delta_veg,3,0.0057228779228292205,0.07564970537172779,0.0371901351221891,0.01503455595468934,0.997938079184373,0.08804941262925592,0.08501557011336014,0.08837018807242458,63086722.01671416,173.0972227300728,0.3039047151277014,0.05,0.3860294117647059,0.060034305317324184,0.10390895596239486,0.026114151681000782,0.9399656946826758,0.7647347740667977
lgbm,delta_veg,3,0.0049117226331344506,0.07008368307341196,0.03135627634385142,0.006614485871636504,0.9848432561523716,0.2173084240673907,0.21470459551266174,0.2177477713060949,33848574.96674547,162.1327231497554,0.3257612966601179,0.05,0.5969428801287209,0.42424242424242425,0.49598930481283426,0.07834245504300234,0.5757575757575758,0.7237229862475442
ridge,delta_veg,4,0.004788841409838267,0.06920145525809603,0.034544549959756844,0.012777358578872758,0.8418926633303978,0.09170824903063168,0.08868769511066954,0.09317716186731506,59778788.57715705,172.35208899824363,0.2996194918374862,0.05,0.34210526315789475,0.055420219244823384,0.09538784067085954,0.026902382782475018,0.9445797807551766,0.776973118939487
lgbm,delta_veg,4,0.004062894119438032,0.06374083557216702,0.029402932472229776,0.0059518649391478665,0.8557245011725075,0.2293974893037538,0.22683482545490552,0.23010682952282913,31901085.03681832,163.2196239400637,0.3182766662575181,0.05,0.5714285714285714,0.36784409257003653,0.4475731752500926,0.06963873943120677,0.6321559074299634,0.742850128881797
ridge,delta_water,0,8.59594226089505e-05,0.009271430451065817,0.0015205316619344874,0.0005672912774149046,0.2648974775871822,-0.02685216224266962,-0.03026867590632354,-0.026523970744247505,7544643.400578099,199.824214901914,0.009455974456588481,0.05,0.0,0.0,0.0,0.0,1.0,0.9943509762986614
lgbm,delta_water,0,8.497693122327718e-05,0.009218293292322455,0.001530643847979531,0.00014647978201663464,0.26994313043016915,-0.015115538459689493,-0.01849300235844642,-0.01454737118412841,8038943.472200568,199.44220652211243,0.013631339801056122,0.05,0.5,0.10869565217391304,0.17857142857142855,0.0006175126590095097,0.8913043478260869,0.9937369519832986
ridge,delta_water,1,0.00045140233267508924,0.021246231022821183,0.0017411764836921572,0.0003905505276881907,0.8963329333355601,0.009238360141663016,0.005942738079795951,0.009970649795075781,5010670.880518886,199.75538817844895,0.010681399631675874,0.05,0.0,0.0,0.0,0.0,1.0,0.9948434622467771
lgbm,delta_water,1,0.00046383628066261855,0.02153685865354134,0.0021019352872103806,0.00021908629155712155,0.9017838922524052,-0.018052324478934345,-0.021438724966914124,-0.017469334150288063,8634784.790062042,199.20955677109484,0.014241866175567833,0.05,0.2857142857142857,0.047619047619047616,0.08163265306122448,0.0006170554115759595,0.9523809523809523,0.9942295887047268
ridge,delta_water,2,6.000166983902812e-05,0.007746074479310673,0.0016105478728924616,0.0006149529833340998,0.24624006677103624,-0.0753267710873553,-0.07890236503062598,-0.07469665948363957,8708664.147898667,199.5912640243265,0.008713794796269023,0.05,0.0,0.0,0.0,0.00012328936012822092,1.0,0.9953362788414335
lgbm,delta_water,2,6.444509829888837e-05,0.008027770443833604,0.0016821260000706327,0.00019846273193565678,0.24352720401058214,-0.1549601811427408,-0.15880056598151593,-0.15421654103400306,9759453.710730923,199.22633007598785,0.012150220913107511,0.05,0.45454545454545453,0.13513513513513514,0.20833333333333334,0.0007397361607693256,0.8648648648648649,0.9947226313205695
ridge,delta_water,3,9.113086973122757e-05,0.009546248987493861,0.0018817677457309097,0.0006713020166724856,0.35230091356038606,-0.14709014546271781,-0.15090624131381358,-0.14683441243444117,11054125.312594224,199.42936370828076,0.012033398821218075,0.05,0.0,0.0,0.0,0.0018509378084896348,1.0,0.9932465618860511
lgbm,delta_water,3,9.187647040890992e-05,0.009585221458521963,0.0018880267432849999,0.00020977591126198535,0.3219946676960191,-0.1564752330004775,-0.1603225508037074,-0.15647461139522445,11150704.1444312,198.9830195137741,0.016085461689587428,0.05,0.07692307692307693,0.025,0.03773584905660378,0.0014807502467917078,0.975,0.993614931237721
ridge,delta_water,4,0.00012233191309579718,0.011060375811689093,0.0021757548421020355,0.0006423569547542606,0.39501500434652204,-0.06545065028894537,-0.06899384126785901,-0.06454531698578725,10555752.52891595,199.4203502312225,0.013010924266601203,0.05,0.0,0.0,0.0,0.0008662294270511075,1.0,0.9910396464956426
lgbm,delta_water,4,0.00014883414198233258,0.012199759914946384,0.002355943429420424,0.0002365490848055721,0.37935447288853885,-0.29627199761107526,-0.3005827925286144,-0.2954658137240811,12022325.281930469,198.95657087161936,0.017306984165950657,0.05,0.3225806451612903,0.15151515151515152,0.20618556701030927,0.0025986882811533225,0.8484848484848485,0.9893212225359028
ridge,delta_other,0,0.0026750959163948053,0.05172132941441863,0.02161125325425221,0.008474454639785621,0.7114314217006847,0.11726011984434326,0.11432309251665351,0.11747366813017435,102019785.6843133,181.63112400256898,0.16419010192803635,0.05,0.42168674698795183,0.21341463414634146,0.2834008097165992,0.025644450380659812,0.7865853658536586,0.8958614761144541
lgbm,delta_other,0,0.002229188029127855,0.047214277810084686,0.017125533072125755,0.0023742305491951743,0.7076052187500939,0.26440275968544746,0.26195530121489996,0.2645586311247963,65014400.54147892,182.0493620958252,0.16357607761267345,0.05,0.4718934911242604,0.48628048780487804,0.478978978978979,0.04768264992653933,0.5137195121951219,0.8755986737074788
ridge,delta_other,1,0.0023691983958425917,0.04867441212631737,0.020888373189898234,0.008419443481662948,0.6849899385870589,0.082120210840957,0.07906701947625405,0.08337491202855563,114714747.29205577,182.7351188112712,0.1500306936771025,0.05,0.2821011673151751,0.26851851851851855,0.27514231499051234,0.0485207100591716,0.7314814814814815,0.8883977900552487
lgbm,delta_other,1,0.0021649837322952684,0.0465293856857714,0.017450677763870687,0.002347075007011675,0.6347508257626865,0.16123748217159983,0.15844746270857568,0.16519695265702483,80189881.69715662,183.88343602013487,0.15027624309392265,0.05,0.3904109589041096,0.5277777777777778,0.4488188976377953,0.05851413543721236,0.4722222222222222,0.8790669122160835
ridge,delta_other,2,0.002277132860596764,0.04771931328714574,0.021081202490395884,0.009596274435468583,0.6618586792951712,0.0937599855279434,0.09074662587391069,0.09935839624160914,120679574.42331997,183.08352694835645,0.14371624938635247,0.05,0.29711751662971175,0.28879310344827586,0.292896174863388,0.04125455491931286,0.7112068965517241,0.9041482572410408
lgbm,delta_other,2,0.0019735843331341266,0.04442504173474828,0.016560593622799585,0.002945983106473584,0.572589253411256,0.21456445270717517,0.21195278278391083,0.21717341187681694,74355011.66675663,184.6750883468826,0.14150711831124202,0.05,0.36596385542168675,0.5237068965517241,0.43085106382978716,0.05478917230609058,0.47629310344827586,0.8913843888070693
ridge,delta_other,3,0.004188130188324233,0.06471576460433913,0.025041992127375977,0.00986099432241617,0.9769838282859187,0.10624166380900879,0.10326834258215367,0.1072547528819805,106691449.02369773,179.45705948440477,0.18136051080550097,0.05,0.46318289786223277,0.2689655172413793,0.3403141361256544,0.030462326459091523,0.7310344827586207,0.8832269155206287
lgbm,delta_other,3,0.0036588649729629337,0.060488552412526236,0.02055864537136003,0.002821728851223069,0.9558208066367464,0.21918829560279118,0.21659072093316023,0.22041595122104918,64498095.835876875,181.27018878389913,0.18013261296660119,0.05,0.4757834757834758,0.4606896551724138,0.46811492641906094,0.049602372287370265,0.5393103448275862,0.8657907662082515
ridge,delta_other,4,0.003534014881991867,0.0594475809599673,0.02400134420732213,0.00959867128273059,0.856369828618785,0.11496728805374523,0.11202408282864995,0.11636651743555737,107575433.08313423,180.17906440124187,0.17626120044188046,0.05,0.4142857142857143,0.24507042253521127,0.30796460176991153,0.03307785397337636,0.7549295774647887,0.8826561924634835
lgbm,delta_other,4,0.002984428899156661,0.0546299267723897,0.01922657303481724,0.00332242997298163,0.8340208551643065,0.2526015621239611,0.2501160641780745,0.25389712148136867,66038517.70203583,180.91123812469357,0.17417454277648214,0.05,0.5067669172932331,0.47464788732394364,0.4901818181818182,0.04410380529783515,0.5253521126760563,0.8725911378421505
